Time (CAT);Open;High;Low;Close;Volume 
22/09/2015 23:00:00;1.53634;1.53651;1.52206;1.52404;139827.59
23/09/2015 23:00:00;1.52408;1.52888;1.52004;1.52418;142218.55
24/09/2015 23:00:00;1.52415;1.52602;1.51352;1.51748;135482.61
27/09/2015 23:00:00;1.51792;1.52409;1.51573;1.51715;117910.96
28/09/2015 23:00:00;1.51713;1.52049;1.51286;1.51476;145418.8
29/09/2015 23:00:00;1.51476;1.52136;1.51072;1.51271;142470.38
30/09/2015 23:00:00;1.51277;1.51798;1.51069;1.51293;117987.44
01/10/2015 23:00:00;1.51294;1.52372;1.5127;1.51809;134550.5
04/10/2015 23:00:00;1.51889;1.52441;1.51367;1.51448;136381.07
05/10/2015 23:00:00;1.51449;1.52427;1.51397;1.52236;108627.06
06/10/2015 23:00:00;1.52233;1.53393;1.52195;1.53169;146731.66
07/10/2015 23:00:00;1.53169;1.53719;1.52614;1.53451;141618.88
08/10/2015 23:00:00;1.53457;1.53831;1.52998;1.53041;142879.25
11/10/2015 23:00:00;1.53055;1.53728;1.53055;1.53475;112387.82
12/10/2015 23:00:00;1.53474;1.53872;1.52003;1.52468;151061.69
13/10/2015 23:00:00;1.52468;1.54942;1.52465;1.54762;165425.15
14/10/2015 23:00:00;1.54759;1.55084;1.54151;1.54526;166801.54
15/10/2015 23:00:00;1.5465;1.54861;1.54301;1.5432;131784.97
18/10/2015 23:00:00;1.5437;1.54964;1.54273;1.54636;111037.68
19/10/2015 23:00:00;1.54636;1.55059;1.54351;1.54422;114852.95
20/10/2015 23:00:00;1.54426;1.5477;1.54119;1.54173;118775.6
21/10/2015 23:00:00;1.54148;1.55082;1.53689;1.53931;157439.19
22/10/2015 23:00:00;1.53931;1.54188;1.53058;1.53105;135035.95
25/10/2015 23:00:00;1.53162;1.53815;1.53047;1.53504;116394.15
26/10/2015 23:00:00;1.53501;1.53583;1.52826;1.52991;111307.49
27/10/2015 23:00:00;1.52991;1.5347;1.52484;1.52598;119218.3
28/10/2015 23:00:00;1.52598;1.53213;1.52421;1.53092;130327.01
29/10/2015 23:00:00;1.53092;1.54676;1.53064;1.54265;153821.36
02/11/2015 00:00:00;1.54488;1.54968;1.54039;1.54164;114653.5
03/11/2015 00:00:00;1.54164;1.54451;1.53594;1.54203;108900.16
04/11/2015 00:00:00;1.54203;1.54449;1.53606;1.53837;129649.69
05/11/2015 00:00:00;1.5384;1.54014;1.52048;1.52069;128005.19
06/11/2015 00:00:00;1.52065;1.52192;1.50268;1.50412;141930.07
09/11/2015 00:00:00;1.50506;1.51282;1.50414;1.51134;107714.16
10/11/2015 00:00:00;1.51135;1.51454;1.50912;1.51176;104896.85
11/11/2015 00:00:00;1.51176;1.52204;1.51153;1.521;108108.71
12/11/2015 00:00:00;1.5208;1.52464;1.51739;1.52309;130242.48
13/11/2015 00:00:00;1.52306;1.52633;1.51874;1.52348;112562.79
16/11/2015 00:00:00;1.52273;1.52289;1.51813;1.52012;114136.9
17/11/2015 00:00:00;1.52012;1.52384;1.51542;1.52109;110156.19
