Time (CAT);Open;High;Low;Close;Volume 
29/08/2017 23:00:00;4597;4636.9;4495.3;4575;249638
30/08/2017 23:00:00;4575;4766.5;4554.5;4740.8;227816
31/08/2017 23:00:00;4740.6;4744;4725.1;4734.4;19494
03/09/2017 23:00:00;4626;4628.2;4157.9;4358.4;302288
04/09/2017 23:00:00;4357.5;4539.9;4029.4;4456.9;385102
05/09/2017 23:00:00;4457.1;4681.3;4412.7;4569.2;374856
06/09/2017 23:00:00;4569.2;4690;4479.2;4575.5;468758
07/09/2017 23:00:00;4595.3;4692.4;4139.4;4247.4;393474
10/09/2017 23:00:00;4289;4378.5;4110.1;4192.5;531978
11/09/2017 23:00:00;4196.2;4384.9;4078.7;4179.9;300866
12/09/2017 23:00:00;4179.9;4206.3;3732;3897.5;406292
13/09/2017 23:00:00;3897.4;3958.1;3241.3;3390.6;424802
14/09/2017 23:00:00;3390.6;3837.3;2972.6;3720;497626
17/09/2017 23:00:00;3747.5;4119.6;3699.5;4005.9;472880
18/09/2017 23:00:00;4005.4;4121;3850.4;3904.6;365602
19/09/2017 23:00:00;3906.6;4042.9;3832;3955.2;325074
20/09/2017 23:00:00;3955.3;3975.1;3571.8;3645.9;367370
21/09/2017 23:00:00;3648.4;3761;3509.6;3614.4;190784
24/09/2017 23:00:00;3669.7;3960.3;3662.2;3940.3;125378
25/09/2017 23:00:00;3940.1;3964.6;3849.8;3908.1;287174
26/09/2017 23:00:00;3908.1;4190.8;3872;4154.3;293518
27/09/2017 23:00:00;4154.3;4275.5;4124.3;4164.5;343882
28/09/2017 23:00:00;4164.5;4218.7;4014.5;4169.4;235630
01/10/2017 23:00:00;4386.7;4469;4359.8;4390.2;124196
02/10/2017 23:00:00;4390.2;4425.1;4236.1;4282.6;140248
03/10/2017 23:00:00;4282.6;4346.8;4181.9;4199.7;217266
04/10/2017 23:00:00;4199.7;4359.8;4144.5;4347;208394
05/10/2017 23:00:00;4347;4415.9;4293;4338.2;210122
08/10/2017 23:00:00;4583;4870;4554.8;4838.4;255760
09/10/2017 23:00:00;4838.5;4926.5;4738.6;4873;286084
10/10/2017 23:00:00;4873;4874.9;4707.5;4826.5;261486
11/10/2017 23:00:00;4827.4;5389;4789.7;5316.5;345464
12/10/2017 23:00:00;5316.3;5865.5;5275.4;5613;347162
15/10/2017 23:00:00;5524.6;5757.6;5493;5677.2;331146
16/10/2017 23:00:00;5676.8;5785.3;5522.6;5576.4;263498
17/10/2017 23:00:00;5574.9;5611.2;5106.7;5505.5;302244
18/10/2017 23:00:00;5506;5738.9;5482.8;5699.4;290076
19/10/2017 23:00:00;5698.9;6064;5614;5973.2;276004
22/10/2017 23:00:00;5881.6;6056.8;5647.7;5909.1;317760
23/10/2017 23:00:00;5908.4;5929.9;5560.1;5591.4;537362
24/10/2017 23:00:00;5591.7;5693;5373.4;5678;478134
25/10/2017 23:00:00;5678.4;5984.9;5637.6;5840.2;320618
26/10/2017 23:00:00;5840.9;5995;5689.6;5750.9;313882
29/10/2017 23:00:00;6176.7;6219;6027;6098.7;154061.7
30/10/2017 23:00:00;6098.6;6414.8;6083.7;6371.8;121920.32
31/10/2017 23:00:00;6377.4;6649.5;6362.7;6580;128841.71
01/11/2017 23:00:00;6580;7390.9;6572.7;7057.8;128008.32
02/11/2017 23:00:00;7059.9;7449;6933.1;7228;131947.73
06/11/2017 00:00:00;7353;7443.1;6948.8;7124;154040.44
07/11/2017 00:00:00;7121.1;7226;6925.4;7074.4;121080.39
08/11/2017 00:00:00;7074.4;7882.2;7034.8;7257.2;128616.08
09/11/2017 00:00:00;7252.6;7489;7053.9;7120.6;127675.2
10/11/2017 00:00:00;7120.5;7345.2;6413.7;6580.3;132552.44
13/11/2017 00:00:00;5891.2;6812.5;5602.7;6505.3;154916.77
14/11/2017 00:00:00;6505.4;6748;6399.8;6588.7;121266.73
15/11/2017 00:00:00;6588.9;7344.1;6542.1;7289.5;128318.67
16/11/2017 00:00:00;7289.6;7894;7114.7;7891.3;127366.23
17/11/2017 00:00:00;7891.1;7996.4;7532.4;7697.3;133146.28
20/11/2017 00:00:00;8017.6;8291;7943.2;8240.1;154767.62
21/11/2017 00:00:00;8240.3;8374;7797.5;8131.6;121160
22/11/2017 00:00:00;8131.4;8303;7970.7;8202.2;128563.92
23/11/2017 00:00:00;8201.9;8279.6;8090.6;8163.6;128341.23
24/11/2017 00:00:00;8163.8;8327.4;7872.3;8249;132509.05
27/11/2017 00:00:00;9449.5;9746.4;9276;9650.6;154512.65
28/11/2017 00:00:00;9649.1;9975.2;9552.7;9943.9;121953.85
29/11/2017 00:00:00;9921.9;11433.3;8980.4;10187.4;129023.66
30/11/2017 00:00:00;10188.6;10810.7;9011.1;9659.6;128189.82
01/12/2017 00:00:00;9645.1;10939.9;9372.8;10896.8;132839.48
04/12/2017 00:00:00;10914.5;11582;10500.1;11500;155210.18
05/12/2017 00:00:00;11500.8;11864;11450.5;11776.3;121661.77
